ticker,sector,name,mer,fum,fum_change,inflow_outflow,transacted_value,transacted_volume,no_of_trades,monthly_liquidity,spred,last_price,distribution_yield,one_month_return,one_year_return,three_year_return,five_year_returns
A200,Equity - Australia,Betashares Australia 200 ETF,0.04,"4,296.27",317.96,301.35,"214,355,402","1,719,165","14,021",4.99%,0.02%,127.46,3.70%,1.48%,8.44%,11.52%,11.30%
IOZ,Equity - Australia,iShares Core S&P/ASX 200 ETF,0.05,"5,122.88",296.04,275.6,"277,699,870","9,191,717","19,182",5.42%,0.04%,30.84,3.80%,1.34%,8.36%,11.08%,11.02%
ILC,Equity - Australia,iShares S&P/ASX 20 ETF,0.24,596.46,12,7.28,"25,625,586","870,614","1,928",4.30%,0.06%,29.95,4.18%,1.88%,9.61%,13.24%,12.50%
MVW,Equity - Australia,VanEck Australian Equal Weight ETF,0.35,"2,098.95",-20.77,21.72,"63,499,076","1,830,950","5,696",3.03%,0.05%,35.2,3.66%,0.36%,6.53%,9.32%,9.65%
QOZ,Equity - Australia,Betashares FTSE RAFI Australia 200 ETF,0.4,500.09,5.86,9.99,"15,187,004","1,005,650","1,952",3.04%,0.10%,15.44,5.07%,2.24%,9.74%,13.42%,11.75%
STW,Equity - Australia,SPDR S&P/ASX 200 ,0.05,"4,987.77",68.49,10.03,"160,793,439","2,394,568","8,203",3.22%,0.03%,68.97,4.17%,1.19%,8.39%,11.20%,11.12%
SFY,Equity - Australia,SPDR S&P/ASX 50 ,0.286,807.65,11.01,-2.61,"21,559,817","321,794",926,2.67%,0.05%,68.42,4.09%,1.71%,9.91%,12.71%,11.53%
VAS,Equity - Australia,Vanguard Australian Shares Index ETF,0.07,"14,584.16",200.17,149.9,"526,705,742","5,686,560","48,813",3.61%,0.02%,94.74,3.66%,1.36%,8.01%,10.69%,11.04%
VLC,Equity - Australia,Vanguard MSCI Australian Large Companies Index ETF,0.2,230.68,4.55,3.39,"11,319,915","147,806","1,677",4.91%,0.05%,78.26,4.71%,1.58%,10.39%,14.13%,13.10%
EX20,Equity - Australia Small/Mid Cap,Betashares Australian Ex-20 Portfolio Diversifier ETF,0.25,251.46,-2.41,0.26,"8,249,143","424,013",723,3.28%,0.13%,19.78,3.17%,0.87%,4.51%,6.21%,7.76%
IMPQ,Equity - Australia Small/Mid Cap,eInvest Better Future Fund (Managed Fund),0.99,44.1,-1.07,-0.32,"1,613,674","336,971",272,3.66%,0.89%,4.77,0.88%,-1.65%,-0.62%,-1.92%,n/a
ISO,Equity - Australia Small/Mid Cap,iShares S&P/ASX Small Ordinaries ETF,0.55,149.85,1.49,2.8,"8,154,712","1,842,476",555,5.44%,0.32%,4.52,2.51%,1.13%,1.72%,1.12%,5.53%
KSM,Equity - Australia Small/Mid Cap,K2 Australian Small Cap Fund (Hedge Fund),2.27,10.79,0.63,0.41,"593,474","259,355",48,5.50%,1.42%,2.31,0.49%,2.21%,-3.23%,-3.44%,2.42%
MVE,Equity - Australia Small/Mid Cap,VanEck S&P/ASX MidCap ETF,0.45,215.17,-9.19,3.59,"9,427,975","265,662",951,4.38%,0.16%,34.93,3.64%,-3.83%,-2.42%,5.82%,9.71%
MVS,Equity - Australia Small/Mid Cap,VanEck Small Companies Masters ETF,0.49,46.8,-0.71,0.05,"3,115,958","166,700",345,6.66%,0.16%,19.08,4.25%,1.40%,3.43%,3.82%,5.19%
SSO,Equity - Australia Small/Mid Cap,SPDR S&P/ASX Small Ordinaries Fund,0.5,26.56,0.24,0.03,"1,435,111","108,131",128,5.40%,0.20%,13.58,2.33%,0.82%,1.95%,1.59%,5.98%
VSO,Equity - Australia Small/Mid Cap,Vanguard MSCI Australian Small Companies Index ETF,0.3,868.9,-7.07,5.35,"30,634,967","491,948","4,374",3.53%,0.06%,63.26,2.92%,0.40%,1.58%,5.68%,9.31%
ATEC,Equity - Australia Sectors,Betashares S&P/ASX Australian Technology ETF,0.48,216.47,8.1,6.41,"21,557,131","1,036,775","2,435",9.96%,0.14%,21.12,0.61%,1.25%,24.86%,-1.39%,n/a
MVB,Equity - Australia Sectors,VanEck Australian Banks ETF,0.28,179.17,7.94,-1.28,"13,332,122","428,778",860,7.44%,0.10%,32.1,5.92%,5.38%,12.17%,15.77%,11.27%
MVR,Equity - Australia Sectors,VanEck Australian Resources ETF,0.35,422.59,-35.19,-8.66,"24,076,289","666,975","2,110",5.70%,0.12%,36.26,5.13%,-2.83%,0.61%,13.71%,12.19%
OZF,Equity - Australia Sectors,SPDR S&P/ASX 200 Financials ex A-REIT Fund,0.34,137.62,-9.67,-17.16,"32,028,216","1,444,374",220,23.27%,0.10%,22.94,3.72%,5.08%,12.00%,14.64%,10.68%
OZR,Equity - Australia Sectors,SPDR S&P/ASX 200 Resources Fund ,0.34,163.19,-30.44,-23.62,"35,399,582","2,527,726","1,244",21.69%,0.12%,13.7,6.32%,-3.52%,2.40%,16.78%,15.15%
OZXX,Equity - Australia Sectors,Global X Australia Ex Financials & Resources ETF,0.25,3.57,0.04,0,"94,711","9,517",24,2.66%,0.20%,10.19,0.97%,2.10%,n/a,n/a,n/a
QFN,Equity - Australia Sectors,Betashares Financials Sector ETF ,0.34,50.19,-18.92,-20.77,"26,186,697","2,103,270",346,52.18%,0.11%,13.06,3.01%,6.29%,12.19%,14.22%,10.61%
QRE,Equity - Australia Sectors,Betashares Resources Sector ETF ,0.34,218.63,-33.76,-20.03,"47,247,472","5,964,176","1,871",21.61%,0.15%,7.82,4.66%,-2.90%,1.76%,16.96%,15.44%
AASF,Equity - Australia Strategy,Airlie Australian Share Fund (Managed Fund),0.78,482.14,8.35,8.35,"2,430,737","667,582",213,0.50%,0.40%,3.75,3.61%,1.86%,9.39%,12.65%,n/a
AQLT,Equity - Australia Strategy,Betashares Australian Quality ETF,0.35,42.81,3.12,2.7,"5,184,184","198,832",404,12.11%,0.11%,26.7,2.46%,3.11%,11.75%,n/a,n/a
AUMF,Equity - Australia Strategy,iShares Edge MSCI Australia Multifactor ETF,0.3,60.73,0.67,1.36,"2,383,695","77,303",227,3.92%,0.19%,31.2,4.38%,1.97%,6.78%,7.85%,8.77%
AUST,Equity - Australia Strategy,Betashares Managed Risk Australian Share Fund (Managed Fund),0.49,30.44,-0.45,0.01,"1,527,313","94,144",121,5.02%,0.16%,16.53,3.63%,1.25%,4.51%,6.23%,6.52%
AYLD,Equity - Australia Strategy,Global X S&P/ASX 200 Covered Call ETF,0.6,12.21,2.08,2.04,"2,125,183","211,248",134,17.41%,0.33%,10.17,8.59%,0.59%,10.54%,n/a,n/a
BBOZ,Equity - Australia Strategy,Betashares Australian Strong Bear (Hedge Fund),1.38,363.92,6.68,12.56,"210,142,716","67,240,679","5,956",57.74%,0.29%,2.99,0.00%,-1.64%,-8.00%,-20.64%,-26.90%
BEAR,Equity - Australia Strategy,Betashares Australian Equities Bear (Hedge Fund),1.48,47.18,2.14,2.42,"11,407,080","1,388,732","1,012",24.18%,0.14%,8.07,0.00%,-0.62%,-1.47%,-8.05%,-10.21%
DACE,Equity - Australia Strategy,Dimensional Australian Core Equity (Managed Fund),0.28,"4,899.01",53.63,28.54,"2,953,751","193,895",81,0.06%,0.09%,15.53,0.50%,1.03%,n/a,n/a,n/a
DVDY,Equity - Australia Strategy,VanEck Morningstar Australian Moat Income ETF,0.35,76.04,0.69,0.04,"4,026,151","193,308",206,5.29%,0.14%,21,4.29%,2.15%,5.16%,6.17%,n/a
E200,Equity - Australia Strategy,SPDR S&P/ASX 200 ESG Fund,0.05,42.54,0.3,0.02,"3,554,712","147,358",319,8.36%,0.13%,24.43,4.78%,0.66%,7.96%,11.55%,n/a
EIGA,Equity - Australia Strategy,eInvest Income Generator Fund (Managed Fund),0.8,33.65,0.7,0.18,"790,565","211,081",295,2.35%,0.63%,3.84,5.58%,2.07%,6.54%,9.70%,8.37%
EINC,Equity - Australia Strategy,Betashares Martin Currie Equity Income Fund (Managed Fund),0.85,22.49,0.27,                                  -  ,"791,679","95,298",83,3.52%,0.27%,8.44,3.83%,2.40%,5.96%,8.41%,8.77%
FAIR,Equity - Australia Strategy,Betashares Australian Sustainability Leaders ETF,0.49,"1,397.98",21.69,8.37,"44,543,637","2,418,675","1,656",3.19%,0.13%,18.79,2.22%,2.53%,9.58%,5.18%,7.45%
GIVE,Equity - Australia Strategy,Perpetual ESG Australian Share Fund (Managed Fund),0.65,5.87,0.57,0.44,"479,547","160,864",53,8.17%,0.34%,3.06,2.54%,2.82%,11.29%,n/a,n/a
GRNV,Equity - Australia Strategy,VanEck MSCI Australian Sustainable Equity ETF,0.35,160.5,1.67,2.43,"4,788,944","169,537","1,357",2.98%,0.12%,28.92,3.28%,1.58%,10.70%,8.94%,9.53%
GEAR,Equity - Australia Strategy,Betashares Geared Australian Equity Fund (Hedge Fund),0.8,424.41,-25.68,-25.02,"190,965,329","7,354,591","5,531",45.00%,0.06%,27.34,2.95%,3.61%,10.64%,20.86%,17.86%
HVST,Equity - Australia Strategy,Betashares Australian Dividend Harvester Fund (Managed Fund),0.72,198.35,3.49,1.5,"13,261,757","1,057,705","1,292",6.69%,0.14%,12.83,6.53%,1.64%,8.39%,7.55%,7.35%
IMLC,Equity - Australia Strategy,Investors Mutual Concentrated Australian Share Fund (Quoted Managed Fund),0.993,2.49,0.04,0.02,"19,742","4,997",7,0.79%,0.51%,3.96,1.26%,0.25%,n/a,n/a,n/a
IHD,Equity - Australia Strategy,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,0.23,312.75,-3.81,-6.95,"8,012,118","572,811",672,2.56%,0.12%,14.25,4.94%,2.12%,11.69%,10.57%,10.33%
IIGF,Equity - Australia Strategy,Intelligent Investor Australian Equity Income Fund (Managed Fund),0.97,107.97,-1.52,-1.52,"2,262,688","797,310",132,2.10%,0.65%,2.89,5.43%,0.00%,-0.19%,11.08%,n/a
INES,Equity - Australia Strategy,Intelligent Investor Ethical Share Fund (Managed Fund),0.97,74.48,-0.64,-0.64,"981,841","302,563",100,1.32%,0.60%,3.3,1.62%,0.00%,6.80%,7.27%,n/a
INIF,Equity - Australia Strategy,Intelligent Investor Australian Equity Income Fund (Managed Fund),0.97,81.74,-2.82,-1.6,"2,182,462","803,137",108,2.67%,0.74%,2.73,7.42%,-1.44%,-2.45%,12.47%,10.99%
IESG,Equity - Australia Strategy,iShares Core MSCI Australia ESG Leaders ETF,0.09,182.16,8.98,6.84,"12,668,206","463,923","1,045",6.95%,0.14%,27.98,2.68%,1.95%,11.39%,n/a,n/a
MAAT,Equity - Australia Strategy,Monash Investors Small Companies Trust (Hedge Fund),2.6429,15.34,-1.25,-1.35,"380,138","443,544",57,2.48%,0.97%,0.86,2.79%,0.58%,-2.27%,n/a,n/a
MFOA,Equity - Australia Strategy,Milford Australian Absolute Growth Fund (Hedge Fund),0.9,23.73,0.37,0.54,"581,172","53,333",64,2.45%,0.29%,10.97,2.45%,-0.28%,9.96%,n/a,n/a
MVOL,Equity - Australia Strategy,iShares Edge MSCI Australia Minimum Volatility ETF,0.3,19.13,0.09,0.05,"334,208","11,078",29,1.75%,0.14%,30.93,5.35%,3.57%,9.71%,9.53%,8.65%
RARI,Equity - Australia Strategy,Russell Investments Australian Responsible Investment ETF,0.45,334.96,9.44,1.99,"4,463,513","174,701",213,1.33%,0.12%,26.38,3.77%,2.29%,8.53%,9.89%,8.62%
RDV,Equity - Australia Strategy,Russell Investments High Dividend Australian Shares ETF  ,0.34,249.68,3.22,-2.78,"6,615,148","226,167",582,2.65%,0.13%,29.9,4.79%,2.50%,7.91%,11.40%,9.36%
SMLL,Equity - Australia Strategy,Betashares Australian Small Companies Select Fund (Managed Fund),0.39,85.77,0.34,0.58,"2,070,746","602,055",379,2.41%,0.52%,3.53,3.46%,2.07%,3.95%,3.65%,8.06%
SWTZ,Equity - Australia Strategy,Switzer Dividend Growth Fund (Quoted Managed Fund),0.89,62.81,-0.7,-1.43,"1,520,920","589,241",134,2.42%,0.68%,2.62,3.64%,1.60%,5.06%,9.28%,8.78%
SYI,Equity - Australia Strategy,SPDR MSCI Australia Select High Dividend Yield Fund ,0.2,445.73,4.25,-2.54,"24,076,216","865,407","5,873",5.40%,0.07%,28.42,4.90%,1.54%,5.68%,12.48%,11.41%
VETH,Equity - Australia Strategy,Vanguard Ethically Conscious Australian Shares ETF,0.17,388.95,3.36,0.67,"9,385,957","162,634","2,257",2.41%,0.07%,59.11,3.66%,2.05%,8.44%,9.00%,n/a
VHY,Equity - Australia Strategy,Vanguard Australian Shares High Yield ETF,0.25,"3,473.42",47.24,6.03,"116,242,035","1,664,725","10,657",3.35%,0.03%,71.51,4.55%,2.41%,9.52%,14.90%,13.56%
YMAX,Equity - Australia Strategy,Betashares Australia Top20 Equity Yield Maximiser Fund (Managed Fund),0.76,461.69,-3.46,-0.48,"20,255,224","2,654,437","1,426",4.39%,0.19%,7.75,7.97%,1.44%,10.27%,13.02%,10.07%
ZYAU,Equity - Australia Strategy,Global X S&P/ASX 200 High Dividend ETF,0.24,65.98,1.54,0.04,"3,286,611","384,702",406,4.98%,0.14%,8.75,6.89%,2.34%,8.46%,5.79%,3.16%
BAOR,Equity - Global,Aoris International Fund (Class B) (Unhedged) (Managed Fund),1.1,18.86,2.45,1.49,"1,817,487","799,307",79,9.64%,0.50%,2.36,0.14%,6.31%,n/a,n/a,n/a
BGBL,Equity - Global,Betashares Global Shares ETF,0.08,728.16,232.39,203.45,"243,666,354","4,178,011","1,591",33.46%,0.07%,59.66,0.37%,6.02%,n/a,n/a,n/a
DAOR,Equity - Global,Aoris International Fund (Class D) (Hedged) (Managed Fund),1.15,29.34,2.1,1.6,"1,589,004","978,506",106,5.42%,0.32%,1.66,0.00%,1.53%,n/a,n/a,n/a
DFGH,Equity - Global,Dimensional Global Core Equity AUD Hedged (Managed Fund),0.36,"2,548.27",37.92,5.46,"450,189","15,047",30,0.02%,0.15%,30.55,0.00%,1.29%,n/a,n/a,n/a
DGCE,Equity - Global,Dimensional Global Core Equity Unhedged (Managed Fund),0.36,"3,785.92",161.08,8.19,"780,758","33,634",90,0.02%,0.14%,23.72,0.61%,4.88%,n/a,n/a,n/a
F100,Equity - Global,Betashares FTSE 100 ETF,0.45,375.22,5.17,2.51,"10,522,880","955,895","2,085",2.80%,0.16%,11.2,3.30%,2.42%,12.69%,11.97%,n/a
H100,Equity - Global,Betashares FTSE 100 Currency Hedged ETF,0.48,2.57,-0.08,                                  -  ,"229,973","22,496",21,8.95%,0.39%,10.28,1.80%,-1.13%,n/a,n/a,n/a
ESGI,Equity - Global,Vaneck MSCI International Sustainable Equity ETF,0.55,181.5,12.74,                                  -  ,"4,905,799","149,669",627,2.70%,0.17%,34.05,3.11%,7.55%,24.65%,13.21%,13.34%
ESTX,Equity - Global,Global X EURO STOXX 50 ETF,0.35,103.79,4.85,0.03,"5,225,304","62,632",500,5.03%,0.16%,86.1,3.50%,4.87%,22.44%,13.24%,11.17%
HEUR,Equity - Global,Betashares Europe ETF - Currency Hedged,0.56,47.58,1.2,                                  -  ,"1,187,786","87,255",212,2.50%,0.31%,13.84,0.00%,2.59%,11.79%,9.54%,8.89%
HGBL,Equity - Global,Betashares Global Shares Currency Hedged ETF,0.11,556.51,201.67,192.9,"202,068,500","3,595,888","1,428",36.31%,0.07%,57.58,0.52%,2.65%,n/a,n/a,n/a
HNDQ,Equity - Global,Betashares NASDAQ 100 ETF - Currency Hedged,0.51,366.47,12.47,3.62,"39,969,139","1,132,120","1,917",10.91%,0.07%,36.08,0.07%,2.57%,43.21%,7.75%,n/a
IEU,Equity - Global,iShares Europe ETF,0.58,720.33,25.01,2.75,"19,710,273","252,277","2,667",2.74%,0.08%,79.92,2.65%,3.75%,17.56%,11.41%,9.42%
IHOO,Equity - Global,iShares Global 100 AUD Hedged ETF,0.43,371.4,12.8,                                  -  ,"9,979,657","66,527",647,2.69%,0.10%,152.58,1.39%,3.57%,24.08%,10.58%,13.77%
IHVV,Equity - Global,iShares S&P 500 AUD Hedged ETF,0.1,"1,521.16",51.83,14.08,"65,986,813","1,483,037","3,842",4.34%,0.04%,45.51,1.27%,2.57%,21.23%,8.68%,11.63%
IHWL,Equity - Global,iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,0.13,287.29,13.25,5.13,"18,684,382","419,126","1,277",6.50%,0.08%,45.83,3.51%,3.54%,24.83%,10.36%,11.39%
IJH,Equity - Global,iShares S&P Midcap ETF,0.07,278.55,11.5,3.32,"12,115,836","295,209","1,171",4.35%,0.10%,42.4,1.26%,3.42%,16.91%,12.62%,12.46%
IJR,Equity - Global,iShares S&P Small-Cap ETF,0.07,499.71,13.82,7.07,"16,362,381","102,897","1,779",3.27%,0.09%,163.37,0.97%,1.55%,14.67%,9.64%,10.55%
IOO,Equity - Global,iShares Global 100 ETF,0.4,"3,167.22",213.11,11.24,"69,845,382","575,409","12,834",2.21%,0.05%,125.38,1.58%,7.32%,34.40%,16.77%,17.22%
IVE,Equity - Global,iShares MSCI EAFE ETF,0.31,447.4,6.18,-7.26,"21,954,333","195,726",998,4.91%,0.11%,114.29,2.71%,4.11%,16.57%,9.18%,8.45%
IVV,Equity - Global,iShares S&P 500 ETF,0.04,"6,929.53",471.92,55.97,"222,663,641","4,612,099","26,510",3.21%,0.03%,49.74,1.34%,6.81%,32.60%,16.56%,16.71%
IWLD,Equity - Global,iShares Core MSCI World ex Australia ESG Leaders ETF,0.1,814.18,54.45,5.96,"27,325,095","554,440","2,437",3.36%,0.06%,50.83,2.33%,7.01%,34.20%,15.99%,14.80%
N100,Equity - Global,Global X US 100 ETF,0.24,15.88,4.21,3.4,"4,344,960","390,396",698,27.37%,0.17%,11.34,0.03%,6.88%,n/a,n/a,n/a
NDQ,Equity - Global,Betashares NASDAQ 100 ETF,0.48,"4,070.57",289.66,36.46,"205,698,141","5,289,158","30,434",5.05%,0.04%,39.99,2.03%,6.78%,56.57%,15.96%,23.12%
QUS,Equity - Global,Betashares S&P 500 Equal Weight ETF ,0.29,301.86,21.12,11.14,"14,443,731","320,910","2,163",4.78%,0.11%,46.05,2.78%,4.18%,15.39%,14.53%,12.45%
SPY,Equity - Global,SPDR S&P 500 ETF Trust,0.0945,184.15,11.51,                                  -  ,"11,541,835","15,964","1,426",6.27%,0.04%,744.3,1.15%,6.67%,32.68%,16.76%,16.92%
VEU,Equity - Global,Vanguard All-World ex US Shares Index ETF,0.08,"2,850.19",105.1,27.64,"102,316,724","1,222,652","7,927",3.59%,0.07%,84.54,2.79%,2.82%,13.66%,6.42%,7.83%
VEQ,Equity - Global,Vanguard FTSE Europe Shares ETF,0.35,193.51,6.26,1.57,"9,819,969","145,336","1,619",5.07%,0.09%,69.13,2.73%,3.16%,16.74%,10.08%,8.91%
VGAD,Equity - Global,Vanguard MSCI Index International Shares (Hedged) ETF,0.21,"2,786.36",-47.64,-115.42,"268,191,054","2,909,499","7,818",9.63%,0.03%,94.61,0.00%,2.41%,18.87%,8.33%,10.79%
VGS,Equity - Global,Vanguard MSCI Index International Shares ETF,0.18,"6,936.44",445.98,98.48,"236,538,737","2,089,703","26,298",3.41%,0.02%,116.49,2.20%,5.88%,28.17%,13.77%,14.03%
VTS,Equity - Global,Vanguard US Total Market Shares Index ETF,0.03,"4,029.20",256.63,21.49,"81,290,707","226,791","11,104",2.02%,0.03%,370.54,1.18%,6.23%,31.73%,14.93%,16.21%
WRLD,Equity - Global,Betashares Managed Risk Global Share Fund (Managed Fund),0.54,49.63,2.27,-0.86,"1,523,259","91,198",150,3.07%,0.33%,17.11,0.10%,6.41%,21.14%,10.78%,9.70%
WXHG,Equity - Global,SPDR World ex Australia Carbon Control (Hedged) Fund,0.21,237.56,8.35,2.36,"5,368,189","231,412",418,2.26%,0.22%,23.55,5.55%,2.61%,21.10%,7.95%,10.43%
WXOZ,Equity - Global,SPDR S&P World ex Australia Carbon Control Fund,0.18,368.17,29.32,9.22,"3,748,379","91,020",249,1.02%,0.18%,42.68,3.80%,5.93%,29.18%,12.73%,13.39%
ASAO,Equity - Asia,abrdn Sustainable Asian Opportunities Active ETF (Managed Fund),1.18,0.97,-0.02,                                  -  ,"34,625","35,286",7,3.57%,0.95%,0.99,3.38%,0.51%,-9.87%,n/a,n/a
ASIA,Equity - Asia,Betashares Asia Technology Tigers ETF,0.67,447.34,-6.37,-1,"29,368,609","3,924,859","5,399",6.57%,0.23%,7.51,0.67%,-0.57%,0.67%,-14.33%,7.74%
CETF,Equity - Asia,VanEck FTSE China A50 ETF,0.6,20.26,3.22,3.24,"3,549,330","76,965",421,17.52%,0.35%,46.26,2.94%,-0.11%,-18.55%,-12.88%,1.04%
CNEW,Equity - Asia,VanEck China New Economy ETF,0.95,100.2,-7.61,-1.2,"7,635,231","1,215,706",993,7.62%,0.40%,6.02,1.83%,-5.94%,-18.06%,-11.08%,4.95%
EAFZ,Equity - Asia,Ellerston Asia Growth Fund (Hedge Fund),0.75,39.33,-1.14,-0.94,"812,393","138,459",36,2.07%,0.43%,5.91,0.00%,0.17%,n/a,n/a,n/a
HJPN,Equity - Asia,Betashares Japan ETF - Currency Hedged,0.56,109.17,13.98,5.63,"21,652,700","1,183,991","2,022",19.83%,0.18%,18.73,3.27%,9.31%,38.42%,14.44%,13.85%
IAA,Equity - Asia,iShares Asia 50 ETF,0.51,652.83,-6.58,15.49,"50,207,756","609,622","6,585",7.69%,0.18%,82.59,2.41%,-1.93%,-7.82%,-11.03%,1.72%
IJP,Equity - Asia,iShares MSCI Japan ETF,0.5,579.87,47.73,10.26,"34,923,460","356,525","3,851",6.02%,0.10%,100.96,1.72%,8.13%,24.07%,6.40%,7.74%
IKO,Equity - Asia,iShares MSCI South Korea ETF,0.59,179.77,-11.07,0.83,"11,638,885","123,458","1,653",6.47%,0.27%,93.98,0.74%,-5.93%,2.48%,-6.54%,1.83%
IIND,Equity - Asia,Betashares India Quality ETF,0.8,117.29,10.01,6.94,"11,034,753","962,199","1,909",9.41%,0.30%,11.49,3.72%,3.22%,25.38%,10.49%,n/a
IZZ,Equity - Asia,iShares China Large-Cap ETF,0.77,267.01,-6.24,13.35,"37,910,506","1,122,502","5,341",14.20%,0.18%,33.01,3.48%,-5.21%,-24.73%,-18.46%,-8.97%
NDIA,Equity - Asia,Global X India Nifty 50 ETF,0.69,92.76,9.53,6.37,"9,696,496","138,442","1,649",10.45%,0.24%,70.72,1.79%,3.63%,26.76%,15.22%,n/a
VAE,Equity - Asia,Vanguard FTSE Asia Ex-Japan Shares Index ETF,0.4,313.79,-4.65,0.18,"12,869,529","194,631","2,315",4.10%,0.22%,65.59,2.19%,-1.28%,-1.04%,-4.82%,3.19%
EMKT,Equity - Emerging Markets,Vaneck MSCI Multifactor Emerging Markets Equity ETF,0.69,82.16,2.74,                                  -  ,"2,394,977","110,347",526,2.91%,0.26%,22.15,5.10%,3.46%,20.96%,5.19%,6.80%
EMMG,Equity - Emerging Markets,Betashares Martin Currie Emerging Markets Fund (Managed Fund),1,132.41,-1.59,0.79,"2,363,049","426,489",539,1.78%,0.44%,5.53,0.51%,-1.78%,-1.66%,-7.73%,n/a
IEM,Equity - Emerging Markets,iShares MSCI Emerging Markets ETF,0.69,892.23,-5.87,9.39,"23,111,868","395,312","5,502",2.59%,0.21%,58.43,2.04%,-0.45%,2.36%,-4.13%,1.87%
