ticker,sector,name,mer,fum,fum_change,inflow_outflow,transacted_value,transacted_volume,no_of_trades,monthly_liquidity,spred,last_price,distribution_yield,one_month_return,one_year_return,three_year_return,five_year_returns
WVOL,Equity - Global Strategy,iShares Edge MSCI World Minimum Volatility ETF,0.3,293.31,18.45,6.17,"15,201,595","407,296","1,533",5.18%,0.17%,37.88,2.29%,5.61%,13.62%,9.47%,8.17%
XALG,Equity - Global Strategy,Alphinity Global Equity Fund (Managed Fund),0.75,517.42,40.41,5.77,"318,091","31,785",25,0.06%,0.60%,10.34,1.57%,7.26%,21.73%,n/a,n/a
XASG,Equity - Global Strategy,Alphinity Global Sustainable Fund (Managed Fund),0.75,64.64,5.45,0.12,"21,328","3,471",10,0.03%,0.64%,6.41,0.24%,9.01%,n/a,n/a,n/a
VLUE,Equity - Global Strategy,VanEck MSCI International Value ETF,0.4,236.95,9.13,                                  -  ,"6,230,606","250,074",589,2.63%,0.16%,25.44,2.99%,4.01%,18.90%,n/a,n/a
ZYUS,Equity - Global Strategy,Global X S&P 500 High Yield Low Volatility ETF,0.35,67.91,62.02,-0.64,"2,694,035","205,526",407,3.97%,0.22%,13.28,7.28%,n/a,n/a,n/a,n/a
IFRA,Equity - Infrastructure,VanEck FTSE Global Infrastructure (Hedged) ETF,0.2,800.21,13.52,32.87,"63,544,592","3,269,585","3,733",7.94%,0.13%,19.43,3.45%,-1.62%,-3.67%,3.86%,3.36%
GLIN,Equity - Infrastructure,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,0.15,180.05,58.09,61.59,"62,488,370","2,637,058",454,34.71%,0.18%,23.69,1.68%,-2.41%,n/a,n/a,n/a
JPSI,Equity - Infrastructure,JPMorgan Sustainable Infrastructure Active ETF (Managed Fund),0.55,1.25,-0.02,                                  -  ,101,2,1,0.01%,0.46%,50.56,1.29%,n/a,2.31%,n/a,n/a
MICH,Equity - Infrastructure,Magellan Infrastructure Fund (Currency Hedged) (Managed Fund),1.06,655.62,-24.02,-2.17,"19,182,750","7,044,838","1,922",2.93%,0.41%,2.71,4.32%,-1.14%,-1.16%,4.02%,3.15%
VBLD,Equity - Infrastructure,Vanguard Global Infrastructure Index ETF,0.47,321.26,5.48,2.94,"14,285,560","233,236","1,439",4.45%,0.11%,61.6,2.65%,1.44%,4.19%,8.33%,6.65%
MVA,Property - Australia,VanEck Australian Property ETF,0.35,551.16,-84.63,-103.51,"135,637,592","6,605,461","3,040",24.61%,0.11%,21.5,5.07%,5.64%,3.92%,5.44%,3.83%
RINC,Property - Australia,Betashares Martin Currie Real Income Fund (Managed Fund),0.85,56.95,-0.45,0.47,"1,547,015","183,958",231,2.72%,0.36%,8.55,3.88%,0.04%,2.75%,6.42%,4.02%
SLF,Property - Australia,SPDR S&P/ASX 200 Listed Property Fund,0.4,481.22,7.09,1.75,"16,183,283","1,437,985","1,391",3.36%,0.14%,11.68,7.75%,1.13%,9.53%,7.19%,4.84%
VAP,Property - Australia,Vanguard Australian Property Securities Index ETF,0.23,"2,747.97",11.76,16.24,"95,055,904","1,152,421","13,762",3.46%,0.04%,85.34,3.66%,1.08%,8.80%,7.58%,5.22%
DJRE,Property - Global,SPDR Dow Jones Global Real Estate ESG Fund,0.5,421.18,-0.37,1.28,"11,013,133","543,957","1,495",2.61%,0.11%,20.3,2.81%,-0.29%,6.79%,6.92%,2.30%
GLPR,Property - Global,iShares Core FTSE Global Property Ex Australia (AUD Hedged) ETF,0.15,61.25,37.2,38.28,"45,215,898","1,772,282",112,73.82%,0.21%,25.52,1.87%,-4.21%,n/a,n/a,n/a
HJZP,Property - Global,Hejaz Property Fund (Managed Fund),1.5,12.44,-0.16,0,"6,158","7,863",12,0.05%,1.19%,0.79,0.52%,0.00%,-1.32%,n/a,n/a
RCAP,Property - Global,Resolution Capital Global Property Securities Fund (Managed Fund),0.8,"1,388.49",-63.37,4.26,"3,752,703","2,412,698",639,0.27%,0.52%,1.54,2.63%,-4.17%,-2.97%,n/a,n/a
REIT,Property - Global,VanEck FTSE International Property (Hedged) ETF,0.2,303.01,-9.95,5.58,"13,024,390","842,775","2,153",4.30%,0.16%,15.33,4.44%,-4.35%,-2.67%,0.63%,n/a
1GOV,Fixed Income - Australia Dollar,VanEck 1-5 Year Australian Government Bond ETF,0.22,2.04,0,0,"412,007","8,114",55,20.23%,0.08%,50.89,0.84%,0.25%,n/a,n/a,n/a
5GOV,Fixed Income - Australia Dollar,VanEck 5-10 Year Australian Government Bond ETF,0.22,4.14,-0.01,0,"1,632,555","31,499",78,39.42%,0.16%,51.72,0.83%,-0.20%,n/a,n/a,n/a
XGOV,Fixed Income - Australia Dollar,VanEck 10+ Year Australian Government Bond ETF,0.22,14.61,-0.12,                                  -  ,"1,265,169","24,447",73,8.66%,0.13%,52.17,1.07%,-1.04%,n/a,n/a,n/a
AGVT,Fixed Income - Australia Dollar,Betashares Australian Government Bond ETF,0.22,615.11,3.15,6.77,"44,901,405","1,078,285","2,048",7.30%,0.08%,41.94,3.25%,-0.32%,1.49%,-4.86%,n/a
BHYB,Fixed Income - Australia Dollar,Betashares Australian Major Bank Hybrids Index ETF,0.35,338.45,11.19,11.85,"20,951,657","2,128,726","1,168",6.19%,0.17%,9.85,4.95%,0.38%,4.57%,n/a,n/a
BNDS,Fixed Income - Australia Dollar,Betashares Western Asset Australian Bond Fund (Managed Fund),0.42,621,-14.62,-13.01,"44,287,265","1,892,214","1,346",7.13%,0.11%,23.69,3.10%,0.07%,2.64%,-2.59%,0.56%
BOND,Fixed Income - Australia Dollar,SPDR S&P/ASX Australian Bond Fund,0.24,37.08,-0.01,0,"820,780","33,484",201,2.21%,0.14%,24.75,0.42%,-0.04%,2.03%,-3.35%,0.06%
CRED,Fixed Income - Australia Dollar,Betashares Australian Investment Grade Bond ETF,0.25,682.85,17.71,18.3,"38,584,764","1,721,090","3,716",5.65%,0.11%,22.68,4.59%,0.30%,6.28%,-2.70%,1.86%
FLOT,Fixed Income - Australia Dollar,VanEck Australian Floating Rate ETF,0.22,686.63,-1.29,-2.95,"18,999,061","763,783","1,455",2.77%,0.08%,24.93,4.47%,0.65%,4.88%,2.08%,2.05%
GOVT,Fixed Income - Australia Dollar,SPDR S&P/ASX Australian Government Bond Fund,0.1,35.86,0.41,0.48,"885,422","37,102",259,2.47%,0.15%,24.02,1.10%,-0.21%,1.45%,-3.79%,-0.21%
GGAB,Fixed Income - Australia Dollar,Betashares Geared Long Australian Government Bond Fund (Hedge Fund),0.99,2.69,2.13,2.15,"522,461","24,276",33,19.45%,0.36%,21.62,0.00%,-2.52%,n/a,n/a,n/a
BBAB,Fixed Income - Australia Dollar,Betashares Geared Short Australian Government Bond Fund (Hedge Fund),0.99,1.39,0.94,0.93,"751,756","40,051",21,54.06%,0.40%,18.54,0.00%,n/a,n/a,n/a,n/a
HBRD,Fixed Income - Australia Dollar,Betashares Active Australian Hybrids Fund,0.55,"2,161.64",5.48,7.61,"85,827,672","8,512,181","3,727",3.97%,0.10%,10.1,5.37%,0.43%,5.66%,4.07%,4.45%
HCRD,Fixed Income - Australia Dollar,Betashares Interest Rate Hedged Australian Grade Corporate Bond ETF,0.29,14.53,4.89,4.84,"4,348,499","180,300",61,29.92%,0.22%,24.19,4.55%,0.83%,9.03%,n/a,n/a
IAF,Fixed Income - Australia Dollar,iShares Core Composite Bond ETF,0.1,"2,285.20",8.68,24.1,"77,492,355","770,472","6,434",3.39%,0.04%,101.18,2.04%,-0.03%,2.21%,-2.69%,0.36%
ICOR,Fixed Income - Australia Dollar,iShares Core Corporate Bond ETF,0.15,149.52,-0.66,0.02,"8,505,323","91,177",882,5.69%,0.12%,93.92,3.19%,0.53%,4.72%,-0.94%,n/a
ILB,Fixed Income - Australia Dollar,iShares Government Inflation ETF,0.18,619.08,-9.62,0.09,"13,990,004","111,579","2,000",2.26%,0.16%,125.61,1.90%,-1.14%,3.05%,-0.59%,2.16%
IGB,Fixed Income - Australia Dollar,iShares Treasury ETF,0.18,405,-0.41,1.98,"15,454,559","158,868","1,387",3.82%,0.06%,97.92,1.92%,-0.04%,0.99%,-3.17%,-0.03%
IYLD,Fixed Income - Australia Dollar,iShares Yield Plus ETF,0.12,29.33,-4.88,-4.91,"7,921,408","80,326",208,27.01%,0.20%,99.1,4.02%,0.56%,5.12%,1.49%,n/a
OZBD,Fixed Income - Australia Dollar,Betashares Australian Composite Bond ETF,0.19,324.74,17.91,19.49,"29,918,227","681,148","2,485",9.21%,0.09%,44.28,3.72%,-0.21%,2.88%,n/a,n/a
PLUS,Fixed Income - Australia Dollar,VanEck Australian Corporate Bond Plus ETF,0.32,297.46,0.74,0.02,"12,018,317","731,821",809,4.04%,0.16%,16.58,3.32%,0.55%,5.20%,-1.56%,1.70%
QPON,Fixed Income - Australia Dollar,Betashares Australian Bank Senior Floating Rate Bond ETF,0.22,"1,226.52",14.01,12.61,"61,296,189","2,362,406","5,061",5.00%,0.07%,26.03,4.21%,0.51%,5.39%,2.22%,2.47%
RGB,Fixed Income - Australia Dollar,Russell Investments Australian Government Bond ETF,0.24,168.37,1.26,1.52,"6,075,115","323,320",647,3.61%,0.23%,18.99,1.44%,-0.16%,0.40%,-4.18%,-0.19%
RSM,Fixed Income - Australia Dollar,Russell Investments Australian Semi-Government Bond ETF,0.26,54.29,1.34,1.18,"1,858,661","95,196",144,3.42%,0.16%,19.69,0.00%,0.31%,2.93%,-1.63%,0.88%
RCB,Fixed Income - Australia Dollar,Russell Investments Australian Select Corporate Bond ETF,0.28,263.9,2.19,1.53,"6,395,463","322,088",527,2.42%,0.14%,19.92,2.16%,0.25%,3.98%,-0.18%,2.04%
SUBD,Fixed Income - Australia Dollar,VanEck Australian Subordinated Debt ETF,0.29,"1,210.86",-2.26,0.16,"78,690,974","3,148,450","2,982",6.50%,0.05%,25.02,5.34%,0.28%,6.65%,3.08%,n/a
VACF,Fixed Income - Australia Dollar,Vanguard Australian Corporate Fixed Interest Index ETF,0.2,661.89,-0.74,2.68,"15,181,336","304,247","1,945",2.29%,0.11%,50.19,2.17%,0.24%,4.56%,-0.84%,1.69%
VAF,Fixed Income - Australia Dollar,Vanguard Australian Fixed Interest Index ETF,0.1,"1,884.62",4.7,18.28,"54,412,186","1,208,002","5,508",2.89%,0.06%,45.36,1.70%,0.02%,2.23%,-2.66%,0.38%
VGB,Fixed Income - Australia Dollar,Vanguard Australian Government Bond Index ETF,0.2,"1,010.39",-7.66,1.72,"34,890,028","760,633","4,993",3.45%,0.05%,46.24,2.00%,0.06%,1.55%,-3.10%,0.12%
AESG,Fixed Income - Global,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,0.19,100.7,0.73,1.45,"2,093,370","21,669",576,2.08%,0.18%,96.83,1.53%,-0.72%,2.29%,n/a,n/a
BBFD,Fixed Income - Global,Betashares Geared Short U.S. Treasury Bond Fund - Currency Hedged (Hedge Fund),0.99,1.03,0.54,0.52,"1,579,632","82,279",69,153.31%,0.40%,19.08,0.00%,5.53%,n/a,n/a,n/a
DHOF,Fixed Income - Global,Daintree Hybrid Opportunities Fund (Managed Fund),0.75,42.81,-0.57,-1.22,"1,164,636","125,521",42,2.72%,0.38%,9.4,3.72%,0.00%,5.60%,n/a,n/a
EBND,Fixed Income - Global,VanEck Vectors Emerging Income Opportunities Active ETF (Managed Fund),0.95,144.97,0.72,0.01,"4,101,091","403,324",554,2.83%,0.24%,10.21,4.90%,1.04%,7.29%,1.29%,n/a
GOOD,Fixed Income - Global,Janus Henderson Sustainable Credit Active ETF (Managed Fund),0.5,0.5,0,0,"43,078",856,5,8.53%,0.22%,50.37,3.01%,0.00%,n/a,n/a,n/a
IHCB,Fixed Income - Global,iShares Core Global Corporate Bond (AUD Hedged) ETF,0.26,303.96,0.56,1.86,"10,590,166","114,331","1,476",3.48%,0.25%,92.99,3.23%,-0.43%,3.39%,-3.74%,0.69%
IHHY,Fixed Income - Global,iShares Global High Yield Bond (AUD Hedged) ETF,0.56,110.92,-3.63,-3.74,"10,506,408","112,903","1,011",9.47%,0.26%,93.41,4.99%,0.10%,7.99%,0.80%,2.51%
IHEB,Fixed Income - Global,iShares J.P.Morgan USD Emerging Markets Bond (AUD Hedged) ETF,0.51,86.17,-1.38,                                  -  ,"2,586,421","34,406",858,3.00%,0.28%,75.44,4.04%,-1.58%,3.73%,-5.82%,-1.10%
IUSG,Fixed Income - Global,iShares U.S. Treasury Bond (AUD Hedged) ETF,0.15,2.58,1.02,1.03,"433,801","4,214",8,16.82%,0.15%,102.39,0.00%,-1.11%,n/a,n/a,n/a
GBND,Fixed Income - Global,Betashares Sustainability leaders Diversified Bond ETF - Currency Hedged,0.49,335.6,0.06,4.99,"8,086,451","392,035",371,2.41%,0.24%,20.75,2.74%,-0.76%,2.72%,-4.70%,n/a
GCAP,Fixed Income - Global,VanEck Bentham Global Capital Securities Active ETF (Managed Fund),0.59,30.99,-0.94,-0.87,"5,732,598","661,830",241,18.50%,0.25%,8.71,5.91%,0.35%,0.66%,n/a,n/a
GGOV,Fixed Income - Global,Betashares U.S. Treasury Bond20+ Year ETF - Currency Hedged,0.22,177.98,-71.8,-61.2,"99,981,179","6,962,176","2,629",56.18%,0.34%,14.44,2.45%,-3.65%,-9.13%,-13.71%,n/a
GGFD,Fixed Income - Global,Betashares Geared Long U.S. Treasury Bond Fund - Currency Hedged (Hedge Fund),0.99,0.53,-0.02,                                  -  ,"187,271","8,892",13,35.45%,0.39%,20.88,0.00%,-4.18%,n/a,n/a,n/a
MQDB,Fixed Income - Global,Macquarie Dynamic Bond Active ETF (Managed Fund),0.614,2.09,-0.01,0,"629,006","60,313",16,30.12%,0.26%,10.43,0.05%,-0.71%,n/a,n/a,n/a
MQIO,Fixed Income - Global,Macquarie Income Opportunities Active ETF (Managed Fund),0.492,1.7,-0.36,-0.36,"96,255","9,374",10,5.66%,0.27%,10.29,0.29%,0.10%,n/a,n/a,n/a
SKUK,Fixed Income - Global,Hejaz Sukuk Active ETF (Managed Fund),1.33,5.17,0.05,0,"57,910","57,324",9,1.12%,0.67%,1.02,0.00%,1.00%,n/a,n/a,n/a
TBIL,Fixed Income - Global,VanEck 1-3 Month US Treasury Bond ETF,0.22,83.79,3.34,0.01,"7,636,602","151,472",625,9.11%,0.07%,51.06,3.53%,4.61%,n/a,n/a,n/a
US10,Fixed Income - Global,Betashares U.S. Treasury Bond 7-10 Year Currency Hedged ETF,0.22,10.32,-38.98,-38.18,"43,554,373","843,817",159,421.88%,0.13%,51.6,0.60%,-1.04%,n/a,n/a,n/a
USIG,Fixed Income - Global,Global X USD Corporate Bond ETF (Currency Hedged),0.3,6.41,2.43,2.47,"2,302,883","234,727",40,35.93%,0.38%,9.86,3.01%,-0.80%,n/a,n/a,n/a
USHY,Fixed Income - Global,Global X USD High Yield Bond ETF (Currency Hedged),0.3,12.96,-0.14,0,"938,754","90,305",255,7.24%,0.53%,10.37,3.12%,-1.05%,5.66%,n/a,n/a
USTB,Fixed Income - Global,Global X US Treasury Bond ETF (Currency Hedged),0.19,700.11,-0.12,6.56,"12,858,379","1,380,971","1,637",1.84%,0.20%,9.34,2.01%,-0.95%,-0.83%,n/a,n/a
UTIP,Fixed Income - Global,Betashares Inflation-Protected U.S. Treasury Bond Currency Hedged ETF,0.22,98.75,0.1,1.02,"3,017,824","118,866",475,3.06%,0.13%,25.45,0.56%,-0.41%,n/a,n/a,n/a
VBND,Fixed Income - Global,Vanguard Global Aggregate Bond Index (Hedged) ETF,0.2,"1,207.61",9.27,26.29,"41,312,953","994,266","3,898",3.42%,0.06%,41.64,1.79%,-0.96%,1.97%,-4.03%,-0.33%
VCF,Fixed Income - Global,Vanguard International Credit Securities Index (Hedged) ETF,0.3,152.08,-0.42,1.59,"5,823,374","152,450","1,117",3.83%,0.11%,38.32,2.44%,-0.56%,3.18%,-3.80%,0.30%
VEFI,Fixed Income - Global,Vanguard Ethically Conscious Global Aggregate Bond Index (Hedged) ETF,0.26,67.5,-0.8,0.02,"1,483,397","35,031",498,2.20%,0.19%,42.43,2.06%,-0.68%,1.88%,-4.14%,-0.42%
VIF,Fixed Income - Global,Vanguard International Fixed Interest Index (Hedged) ETF,0.2,741.92,-1.75,9.25,"28,426,578","735,574","3,225",3.83%,0.11%,38.63,1.55%,-0.95%,1.94%,-3.87%,-0.48%
XARO,Fixed Income - Global,ActiveX Ardea Real Outcome Bond Fund (Managed Fund),0.5,616.27,-16.58,-10.31,"23,521,335","977,044","2,320",3.82%,0.13%,23.96,2.35%,0.03%,4.17%,0.94%,3.23%
AAA,Cash,Betashares Australian High Interest Cash ETF,0.18,"3,479.74",46.69,46.01,"539,660,983","10,751,435","7,726",15.51%,0.02%,50.27,4.02%,0.37%,4.12%,2.02%,1.67%
BILL,Cash,iShares Core Cash ETF,0.07,728.61,-9.04,-9.04,"35,048,561","348,400","2,394",4.81%,0.02%,100.71,3.87%,0.39%,4.04%,1.86%,1.46%
ISEC,Cash,iShares Enhanced Cash ETF,0.12,264.3,-1,-1,"15,791,954","156,922","1,140",5.97%,0.02%,100.77,4.04%,0.41%,4.22%,1.92%,1.60%
MMKT,Cash,Betashares Aust. Cash Plus Fund (Managed Fund),0.18,80.34,20.04,20.08,"43,450,714","867,420",245,54.09%,0.02%,50.21,0.89%,0.40%,n/a,n/a,n/a
DBBF,Mixed Asset,Betashares Ethical Diversified Balanced ETF ,0.39,25.38,2.25,1.86,"4,314,695","180,044",174,17.00%,0.16%,24.61,2.88%,2.30%,12.18%,2.74%,n/a
DGGF,Mixed Asset,Betashares Ethical Diversified Growth ETF ,0.39,41.65,0.1,-1.17,"1,487,469","58,308",190,3.57%,0.17%,26.33,3.31%,3.93%,16.01%,5.78%,n/a
DHHF,Mixed Asset,Betashares Diversified All Growth ETF ,0.19,330.8,18.76,9.52,"15,906,486","516,881","5,983",4.81%,0.09%,31.65,2.29%,3.73%,17.74%,10.88%,n/a
DZZF,Mixed Asset,Betashares Ethical High Growth ETF ,0.39,72.31,1.92,-1.13,"4,300,999","158,202",609,5.95%,0.16%,27.93,3.68%,5.24%,20.19%,8.86%,n/a
GROW,Mixed Asset,Schroder Real Return (Managed Fund),0.83,53.82,-2.63,-1.54,"2,078,099","586,445",95,3.86%,0.60%,3.58,4.54%,0.35%,6.17%,2.34%,3.82%
IBAL,Mixed Asset,iShares Balanced ESG ETF,0.22,2.74,0.06,0,"442,165","16,450",42,16.13%,0.28%,27.41,2.16%,2.52%,12.35%,n/a,n/a
IGRO,Mixed Asset,iShares High Growth ESG ETF,0.22,7.07,0.79,0.59,"1,004,468","34,782",141,14.21%,0.28%,29.44,2.29%,3.78%,21.38%,n/a,n/a
VDCO,Mixed Asset,Vanguard Diversified Conservative Index ETF,0.27,206.68,-0.27,-0.72,"9,338,877","184,717",848,4.52%,0.11%,50.97,1.26%,0.48%,6.15%,0.17%,3.41%
VDBA,Mixed Asset,Vanguard Diversified Balanced Index ETF,0.27,614.6,6.1,0.71,"15,829,626","299,818","1,710",2.58%,0.08%,53.49,1.50%,1.17%,8.79%,3.01%,5.59%
VDGR,Mixed Asset,Vanguard Diversified Growth Index ETF,0.27,770.85,12.55,1.44,"20,317,661","359,727","2,379",2.64%,0.09%,57.37,2.37%,1.77%,11.46%,5.67%,7.86%
VDHG,Mixed Asset,Vanguard Diversified High Growth Index ETF,0.27,"2,190.95",47.97,6.15,"57,459,520","952,326","14,015",2.62%,0.05%,61.65,2.69%,2.53%,14.34%,8.59%,10.19%
AUDS,Currency,Betashares Strong Australian Dollar Fund (Hedge Fund),1.38,30.87,-1.31,1.58,"4,934,706","762,500",335,15.99%,0.26%,6.3,0.00%,-8.96%,-18.08%,-16.03%,-10.84%
USD,Currency,Betashares U.S Dollar ETF,0.45,97.41,1.79,-2.62,"5,030,626","341,745",276,5.16%,0.11%,14.98,3.24%,4.61%,12.31%,7.16%,3.55%
YANK,Currency,Betashares Strong US Dollar Fund (Hedge Fund),1.38,6.91,0.7,                                  -  ,"2,116,117","177,063",138,30.60%,0.20%,12.46,5.40%,10.95%,22.69%,12.68%,2.91%
BCOM,Commodity ,Global X Bloomberg Commodity ETF (Synthetic),0.6,30.85,1.03,                                  -  ,"924,872","92,354",159,3.00%,2.17%,10.14,0.00%,3.47%,n/a,n/a,n/a
GLDN,Commodity ,iShares Physical Gold ETF,0.18,23.71,3.43,2.96,"3,903,690","158,500",118,16.46%,0.12%,24.7,0.00%,2.32%,n/a,n/a,n/a
ETPMPM,Commodity ,Global X Physical Precious Metals Basket,0.44,50.63,-0.95,0.2,"1,688,305","8,710",136,3.33%,0.34%,192.44,0.00%,-2.22%,-2.81%,-1.65%,6.13%
ETPMPT,Commodity ,Global X Physical Platinum,0.49,18.09,-0.91,0.01,"1,333,584","10,325",168,7.37%,0.41%,130.36,0.00%,-4.85%,-2.53%,-0.33%,3.96%
ETPMAG,Commodity ,Global X Physical Silver,0.49,247.63,0.41,-1.57,"18,829,647","590,768","1,116",7.60%,0.18%,32.64,0.00%,0.80%,4.11%,0.35%,9.15%
ETPMPD,Commodity ,Global X Physical Palladium,0.49,3.53,-0.4,0,"199,280","1,405",25,5.64%,2.99%,138.66,0.00%,-10.25%,-35.89%,-21.30%,-5.13%
GCO2,Commodity ,Global X Global Carbon ETF (Synthetic),0.45,1.16,-0.19,                                  -  ,"1,055",136,3,0.09%,1.23%,7.81,0.00%,-9.92%,-17.44%,n/a,n/a
GOLD,Commodity ,Global X Physical Gold ,0.4,"2,735.22",83.74,23.05,"90,973,675","3,217,574","8,517",3.33%,0.06%,28.6,0.00%,2.29%,13.00%,8.27%,10.81%
NUGG,Commodity ,VanEck Gold Bullion ETF,0.25,40.66,2.53,1.55,"3,571,504","117,318",206,8.78%,0.18%,30.92,0.00%,2.59%,13.05%,n/a,n/a
OOO,Commodity ,Betashares Crude Oil Index ETF-Currency Hedged (Synthetic),1.29,140.11,7.84,-2.26,"17,883,131","3,343,878","1,764",12.76%,0.24%,5.64,0.00%,7.63%,4.44%,22.23%,-8.16%
PMGOLD,Commodity ,Perth Mint Gold,0.15,768.86,-85.25,-104.19,"31,437,491","1,028,289","2,713",4.09%,0.10%,30.87,0.00%,2.22%,13.28%,8.51%,11.23%
QAU,Commodity ,Betashares Gold Bullion ETF (Currency Hedged),0.59,498.93,-15.54,-6.66,"23,749,170","1,380,678","1,873",4.76%,0.11%,17.07,0.00%,-1.73%,3.45%,0.98%,6.52%
XCO2,Commodity ,VanEck Global Carbon Credits ETF (Synthetic),0.45,4.81,-0.75,                                  -  ,"696,645","37,679",121,14.49%,0.41%,17.22,2.79%,-13.51%,-15.75%,n/a,n/a
XJOAI,Australian Indices,S&P/ASX 200 Accumulation,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,"96,904.12",n/a,1.19%,7.09%,9.56%,9.71%
XSOAI,Australian Indices,S&P/ASX Small Ords Accumulation,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,"9,771.10",n/a,0.90%,2.10%,1.33%,5.44%
XPJAI,Australian Indices,S&P/ASX 200 A-REIT Accumulation,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,"66,091.92",n/a,1.31%,10.18%,7.60%,5.09%
XIFAI,Australian Indices,S&P/ASX Infrastructure Index Accumulation,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,659.9,n/a,-1.79%,7.30%,14.85%,8.46%
SPBDASXT,Australian Indices,S&P/ASX Aust Fixed Int Idx Total Return,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,169.84,n/a,0.00%,0.00%,0.00%,2.35%
SPBDAGVT,Australian Indices,S&P/ASX Govt Bond Idx Total Return,n/a, n/a , n/a ,n/a, n/a , n/a , n/a ,n/a,n/a,169.97,n/a,0.00%,0.00%,0.00%,2.41%
